tweets,user,location,polarity,sentiment
ugh are you seriously going drop fox sports during nfl fifa world cup season,1598466975646318596,0,-0.3333333333333333,-1
roadqatar choose win app is betting choosing winning team getting prize if you choose right one launch dapp click play game telegram,1598466975243833345,0,0.2964285714285715,1
without fox sports is ridiculous fox sports foxnews is airing biggest sporting events year nfl fox fifa world cup fox fs1 more i demand,1598466973863755776,0,0.08333333333333334,1
rt lionel messi was given motm award vs poland by fifa as shown official fifa page messi gave award,1598466973171683329,0,0.0,0
rt dreamers fifa world cup 2022 official soundtrack by its most streamed song by kpop act 3,1598466971636740096,0,0.5,1
rt this world cup field has been as good as it s been atrocious off field fifa was counting that qatar was,1598466968788533248,0,0.0,0
rt exclusive fifa world cup giveaway enter follow retweet this tweet reply w,1598466958542139394,0,0.0,0
i fear fifa will feel full force german fa sued every court at least it will show sheer corruptness fifa,1598466949201252352,0,0.012499999999999997,1
rt germany team with highest xg 10 0 xgd 6 4 at 2022 fifa world cup is going home unbelievable,1598466945849982977,0,-0.25,-1
there s no way i can watch sports without fox sports i am not missing nfl fox or fifa world cup fox fs1,1598466945200062464,0,0.1,1
