tweets,user,location,polarity,sentiment
ugh are you seriously going drop fox sports during nfl fifa world cup season,1598466975646318596,0,-0.3333333333333333,0
roadqatar choose win app is betting choosing winning team getting prize if you choose right one launch dapp click play game telegram,1598466975243833345,0,0.2964285714285715,2
without fox sports is ridiculous fox sports foxnews is airing biggest sporting events year nfl fox fifa world cup fox fs1 more i demand,1598466973863755776,0,0.0833333333333333,2
rt lionel messi was given motm award vs poland by fifa as shown official fifa page messi gave award,1598466973171683329,0,0.0,1
rt dreamers fifa world cup 2022 official soundtrack by its most streamed song by kpop act 3,1598466971636740096,0,0.5,2
rt this world cup field has been as good as it s been atrocious off field fifa was counting that qatar was,1598466968788533248,0,0.0,1
rt exclusive fifa world cup giveaway enter follow retweet this tweet reply w,1598466958542139394,0,0.0,1
i fear fifa will feel full force german fa sued every court at least it will show sheer corruptness fifa,1598466949201252352,0,0.0124999999999999,2
rt germany team with highest xg 10 0 xgd 6 4 at 2022 fifa world cup is going home unbelievable,1598466945849982977,0,-0.25,0
there s no way i can watch sports without fox sports i am not missing nfl fox or fifa world cup fox fs1,1598466945200062464,0,0.1,2
rt fifa world cup opening ceremony it was incredible honor be part memorable history be able represent,1598466940703760386,0,0.6333333333333333,2
racists authoritarian fifa have successfully manage fix matches group e so that spain will play same way they wanted ghana play brazil portugal will swerve brazil corrupt organization,1598466937238986752,0,0.0833333333333333,2
i have never heard that rule before fifa is making it up as they go along ojare,1598466931279155201,0,0.0,1
bout get top w o r l d world cup leaderboard check me out,1598466930234781696,0,0.5,2
roadqatar choose win app is betting choosing winning team getting prize if you choose right one launch dapp click play game telegram,1598466928540291072,0,0.2964285714285715,2
if fifa get offered enough money then it could happen as they are corruption as f,1598466926774308864,0,0.0,1
rt thank u raising me u re saying this us right no engenes do u know how hard ur hyungs worked rai,1598466919086329856,0,-0.0029761904761904,0
rt morocco becomes first african team top fifa world cup group since nigeria 1998,1598466916821123079,0,0.25,2
rt as 1st fifa world cup held mideast raging qatar fan fever brings long awaited business boom coffee shops sports,1598466914363363328,0,-0.05,0
another crazy day var but niclas fullkrug offside was just wrong decision field fullkrug cant be offside ball leroy sane fullkrug is behind it when its chested him thats law more,1598466910890467329,0,-0.25,0
how watch argentina vs australia fifa world cup qatar 2022,1598466902346633216,0,0.0,1
roadqatar choose win app is betting choosing winning team getting prize if you choose right one launch dapp click play game telegram,1598466900459421696,0,0.2964285714285715,2
rt jay jay okocha holds record most successful dribbles fifa world cup game 15 against italy 1994,1598466899985276928,0,0.2833333333333333,2
rt visitors express their experience amp feelings towards worldcup,1598466898903056384,0,0.0,1
2022 panini prizm fifa world cup hobby 1 case player break 13 dec 1,1598466898840408064,0,0.0,1
rt do you know why fifa appointed womens refereeing team first time history because ger,1598466888857780224,0,0.25,2
rt fifa has approved my argentina v australia game finally i will snap messi oh my balls dream come true,1598466885477187587,0,-0.0166666666666666,0
roadqatar choose win app is betting choosing winning team getting prize if you choose right one launch dapp click play game telegram,1598466877948571648,0,0.2964285714285715,2
rt end fifa world cup,1598466867957583872,0,0.0,1
fifa world cup japans match winning goal comes under scanner,1598466866129047553,0,0.5,2
rt fernando santos neither cristiano nor i asked fifa anything there s always these fake news media at,1598466865109651457,0,-0.5,0
fifa world cup japan s match winning goal is under scrutiny,1598466860768690177,0,0.5,2
roadqatar choose win app is betting choosing winning team getting prize if you choose right one launch dapp click play game telegram,1598466857383899137,0,0.2964285714285715,2
there s no way i can watch sports without fox sports i am not missing nfl fox or fifa world cup fox fs1,1598466855307558912,0,0.1,2
rt they talking how hard it was raising ni ki jake playing basketball with him han river heeseung fifa until down j,1598466854955417600,0,-0.2236111111111111,0
rt calling all gamers you can now upload your best moments we ll pick top kills warzone,1598466850039664641,0,0.75,2
rt one dream use cases crypto is finally coming alive,1598466849431498752,0,0.05,2
rt classic fifa world cup,1598466847846076416,0,0.1666666666666666,2
qatar bought fwc fifa western event should never be located such countries if your laws regulations are incompatible with such events do not host it freedom speech is basic principle if you do not value it it just shows that you are lost,1598466846034124800,0,0.0,1
rt dreamers fifa world cup 2022 official soundtrack by its most streamed song by kpop act 3,1598466845023019008,0,0.5,2
rt check out our new promotion fifa world cup 2022,1598466843651768320,0,0.1363636363636363,2
sini ka cilaa vidio fifa world cup qatar 2022 private mobile 80k private all screen 110k 2u mobile 45k 2u all screen 62k,1598466838912208896,0,0.0,1
roadqatar choose win app is betting choosing winning team getting prize if you choose right one launch dapp click play game telegram,1598466837859414017,0,0.2964285714285715,2
rt really happy asian african teams doing well world cup these two continents have been underrated ages base,1598466836609351680,0,0.0,1
rt congrats officially lauched predict fifa world cup 2022 at,1598466835355402240,0,0.0,1
rt morocco becomes first african team top fifa world cup group since nigeria 1998,1598466827876995072,0,0.25,2
they wanted wear rainbow band protest against homosexualiy being illegal qatar but fifa declined so they did gesture as if theyre being censored their argument is that human rights is non negotiable while wearing shirts made by adidas human right abuser,1598466824278102017,0,-0.0535714285714285,0
rt i am giving 3 people my favorite fifa world cup play tomorrow s games 1 must follow 2 like amp rt th,1598466824274075649,0,0.5,2
